,fsq_id,categories,chains,distance,link,name,timezone,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.country,location.cross_street,location.formatted_address,location.address,location.locality,location.neighborhood,location.postcode,location.region,location.address_extended
31,f8135ea5c7fd46385eae742b,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],9517,/v3/places/f8135ea5c7fd46385eae742b,Zelo PG VR Guest House,,18.558725,73.937483,18.558725,73.937483,IN,,"Near Durgamata Mandir, Bypass Hadapsar Road, Chandan Nagar, Kharadi, Pune 411014, Maharashtra","Near Durgamata Mandir, Bypass Hadapsar Road, Chandan Nagar, Kharadi",Pune,['Chandan Nagar'],411014,Maharashtra,
32,5f214f1845274ce56faf34f8,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],9557,/v3/places/5f214f1845274ce56faf34f8,Akshay PG for Mens,,18.558622,73.93796,18.558622,73.93796,IN,,"Opposite Rakshak Nagar Phase 2, Behind Durga Mata Temple, Chintamani Hightes, Kharadi, Pune 411014, Maharashtra","Opposite Rakshak Nagar Phase 2, Behind Durga Mata Temple, Chintamani Hightes, Kharadi",Pune,['Chandan Nagar'],411014,Maharashtra,
33,18e212bd8a054aa5b35e956c,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],9618,/v3/places/18e212bd8a054aa5b35e956c,Omkar Niwas PG,,18.550198,73.942415,18.550198,73.942415,IN,,"Opposite Zensar Park, Swarajya Chowk, Behind Chaitanya Paratha Hotel, Kharadi, Pune 411014, Maharashtra","Opposite Zensar Park, Swarajya Chowk, Behind Chaitanya Paratha Hotel, Kharadi",Pune,['Kharadi'],411014,Maharashtra,
34,5aded831bb3049ae12579e66,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],10045,/v3/places/5aded831bb3049ae12579e66,DMR PG Girls,,18.555005,73.944782,18.555005,73.944782,IN,,"Survey No 5, Pune 411014, Maharashtra",Survey No 5,Pune,['Kharadi'],411014,Maharashtra,"Opposite More, Zensar It Park, Kharadi"
35,4532dde621d84f0fe2e942a2,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],10056,/v3/places/4532dde621d84f0fe2e942a2,Avinash PG,,18.564945,73.773608,,,IN,,"6 Virbhadra Nagar Road, Veerbhadra Nagar, Baner, Pune 411045, Maharashtra","6 Virbhadra Nagar Road, Veerbhadra Nagar, Baner",Pune,['Baner Gaon'],411045,Maharashtra,
36,12b76835b688411e9ff1d6a3,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],10246,/v3/places/12b76835b688411e9ff1d6a3,PG by Vishnu,,18.565554,73.771904,,,IN,,"Rajyog Cooperative Housing Society, Veerbhadra Nagar, Baner, Pune 411045, Maharashtra","Rajyog Cooperative Housing Society, Veerbhadra Nagar, Baner",Pune,['Baner Gaon'],411045,Maharashtra,
37,7473b0a96a1c44b49094428e,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],10423,/v3/places/7473b0a96a1c44b49094428e,Mahitha PG,,18.488324,73.949651,18.488324,73.949651,IN,,"Bhekrai Nagar, Tukai Darshan, Pune 412308, Maharashtra","Bhekrai Nagar, Tukai Darshan",Pune,['Phursungi'],412308,Maharashtra,
38,7adba0d8bcd545447d0e47a8,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],10427,/v3/places/7adba0d8bcd545447d0e47a8,Vyankateshwar PG,,18.566899,73.770729,18.566899,73.770729,IN,,"1 .And S-112/1, Baner Road, Laxman Nagar, Baner, Pune 411045, Maharashtra","1 .And S-112/1, Baner Road, Laxman Nagar, Baner",Pune,['Baner Gaon'],411045,Maharashtra,
39,8ca88327f5bf4570a54554d2,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],10481,/v3/places/8ca88327f5bf4570a54554d2,Venkys PG Hostel,,18.488181,73.950177,18.488181,73.950177,IN,,"B-2, 1, Lane Number 1, Prabhat Colony, Bhekrai Nagar, Tukai Darshan, Fursungi, Pune 412308, Maharashtra","B-2, 1, Lane Number 1, Prabhat Colony, Bhekrai Nagar, Tukai Darshan, Fursungi",Pune,['Phursungi'],412308,Maharashtra,
40,5d6ab694efd44ef1c18a33bb,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],10586,/v3/places/5d6ab694efd44ef1c18a33bb,Shri Saibalaji PG,,18.487228,73.950877,,,IN,,"Opposite Sp Infocity, Road No13, Tukai Darshan, Pune Road, Pune 412308, Maharashtra","Opposite Sp Infocity, Road No13, Tukai Darshan, Pune Road",Pune,['Phursungi'],412308,Maharashtra,
41,18ee197412944558e09a59af,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],10647,/v3/places/18ee197412944558e09a59af,Rest Inn PG Services,,18.586923,73.78396,18.586923,73.78396,IN,,"Kranti Nagar Road, Pimpri Chinchwad 411027, Maharashtra",Kranti Nagar Road,Pimpri Chinchwad,['Pimple Nilakh'],411027,Maharashtra,
42,2f698d0b8c9a444845fa5843,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],12776,/v3/places/2f698d0b8c9a444845fa5843,Balaji Gents PG,,18.590455,73.760533,,,IN,,"Wakad, Pimpri Chinchwad 411057, Maharashtra",Wakad,Pimpri Chinchwad,['Wakad'],411057,Maharashtra,
43,8735bac312884670e740922a,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],13238,/v3/places/8735bac312884670e740922a,Aryan PG Centre,,18.591702,73.75603,18.591702,73.75603,IN,,"Aryan Heights, Pimpri Chinchwad 411057, Maharashtra",Aryan Heights,Pimpri Chinchwad,['Wakad'],411057,Maharashtra,
44,23c1a9e1c1ff4f48ad665623,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],13935,/v3/places/23c1a9e1c1ff4f48ad665623,R Square PG,,18.601134,73.755472,18.601134,73.755472,IN,,"213 Mumbai Pune Bypass Road, Shankar Kalat Nagar, Wakad, Pimpri Chinchwad 411057, Maharashtra","213 Mumbai Pune Bypass Road, Shankar Kalat Nagar, Wakad",Pimpri Chinchwad,['Wakad'],411057,Maharashtra,
45,66f4a12e4e77445d8408f506,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],14214,/v3/places/66f4a12e4e77445d8408f506,Maruti PG,,18.587971,73.742133,18.587971,73.742133,IN,,"140 Sakhare Vasti Road, Hinjewadi Village, Pune 411057, Maharashtra","140 Sakhare Vasti Road, Hinjewadi Village",Pune,['Hinjewadi'],411057,Maharashtra,
46,494a343fadad415d6af0e2d6,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],14232,/v3/places/494a343fadad415d6af0e2d6,Lotus PG Services,,18.610843,73.761035,18.610843,73.761035,IN,,"Pimpri Chinchwad 411033, Maharashtra",,Pimpri Chinchwad,['Wakad'],411033,Maharashtra,
47,e88db0a86de9410fec021919,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],14284,/v3/places/e88db0a86de9410fec021919,Madhav PG,,18.586766,73.740578,18.586766,73.740578,IN,,"140 Hinjewadi Phase 1 Road, Hinjewadi Village, Pune 411057, Maharashtra","140 Hinjewadi Phase 1 Road, Hinjewadi Village",Pune,['Hinjewadi'],411057,Maharashtra,
